,Name,City,Country,IATA,ICAO
986,Masvingo International Airport,Masvingo,Zimbabwe,MVZ,FVMV
987,Zvishavane Airport,Zvishavane,Zimbabwe,\N,FVSH
988,Thornhill Air Base,Gwert,Zimbabwe,GWE,FVTL
989,Hwange National Park Airport,Hwange National Park,Zimbabwe,HWN,FVWN
990,Chileka International Airport,Blantyre,Malawi,BLZ,FWCL
991,Karonga Airport,Karonga,Malawi,KGJ,FWKA
992,Kasungu Airport,Kasungu,Malawi,KBQ,FWKG
993,Lilongwe International Airport,Lilongwe,Malawi,LLW,FWKI
994,Mzuzu Airport,Mzuzu,Malawi,ZZU,FWUU
995,Moshoeshoe I International Airport,Maseru,Lesotho,MSU,FXMM
996,Mejametalana Airbase,Maseru,Lesotho,\N,FXMU
997,Ndjili International Airport,Kinshasa,Congo (Kinshasa),FIH,FZAA
998,Ndolo Airport,Kinshasa,Congo (Kinshasa),NLO,FZAB
999,Muanda Airport,Muanda,Congo (Kinshasa),MNB,FZAG
1000,Kitona Base Airport,Kitona Base,Congo (Kinshasa),\N,FZAI
1001,Bandundu Airport,Bandoundu,Congo (Kinshasa),FDU,FZBO
1002,Kikwit Airport,Kikwit,Congo (Kinshasa),KKW,FZCA
1003,Mbandaka Airport,Mbandaka,Congo (Kinshasa),MDK,FZEA
1004,Gbadolite Airport,Gbadolite,Congo (Kinshasa),BDT,FZFD
1005,Gemena Airport,Gemena,Congo (Kinshasa),GMA,FZFK
1006,Kotakoli Airport,Kotakoli,Congo (Kinshasa),KLI,FZFP
1007,Lisala Airport,Lisala,Congo (Kinshasa),LIQ,FZGA
1008,Bangoka International Airport,Kisangani,Congo (Kinshasa),FKI,FZIC
1009,Matari Airport,Isiro,Congo (Kinshasa),IRP,FZJH
1010,Bunia Airport,Bunia,Congo (Kinshasa),BUX,FZKA
1011,Buta Zega Airport,Buta Zega,Congo (Kinshasa),BZU,FZKJ
1012,Bukavu Kavumu Airport,Bukavu/kavumu,Congo (Kinshasa),BKY,FZMA
1013,Goma International Airport,Goma,Congo (Kinshasa),GOM,FZNA
1014,Kindu Airport,Kindu,Congo (Kinshasa),KND,FZOA
