,Name,City,Country,IATA,ICAO
2210,Nyutabaru Airport,Nyutabaru,Japan,\N,RJFN
2211,Oita Airport,Oita,Japan,OIT,RJFO
2212,Kitakyūshū Airport,Kitakyushu,Japan,KKJ,RJFR
2213,Kumamoto Airport,Kumamoto,Japan,KMJ,RJFT
2214,Nagasaki Airport,Nagasaki,Japan,NGS,RJFU
2215,Kanoya Airport,Kanoya,Japan,\N,RJFY
2216,Tsuiki Air Field,Tsuiki,Japan,\N,RJFZ
2217,Amami Airport,Amami,Japan,ASJ,RJKA
2218,Okierabu Airport,Okierabu,Japan,OKE,RJKB
2219,Tokunoshima Airport,Tokunoshima,Japan,TKN,RJKN
2220,Fukui Airport,Fukui,Japan,FKJ,RJNF
2221,Gifu Airport,Gifu,Japan,QGU,RJNG
2222,Hamamatsu Airport,Hamamatsu,Japan,\N,RJNH
2223,Komatsu Airport,Kanazawa,Japan,KMQ,RJNK
2224,Oki Airport,Oki Island,Japan,OKI,RJNO
2225,Toyama Airport,Toyama,Japan,TOY,RJNT
2226,Shizuhama Airport,Yaizu,Japan,\N,RJNY
2227,Hiroshima Airport,Hiroshima,Japan,HIJ,RJOA
2228,Okayama Airport,Okayama,Japan,OKJ,RJOB
2229,Izumo Airport,Izumo,Japan,IZO,RJOC
2230,Hofu Airport,Hofu,Japan,\N,RJOF
2231,Miho Yonago Airport,Miho,Japan,YGJ,RJOH
2232,Kōchi Ryōma Airport,Kochi,Japan,KCZ,RJOK
2233,Matsuyama Airport,Matsuyama,Japan,MYJ,RJOM
2234,Osaka International Airport,Osaka,Japan,ITM,RJOO
2235,Tottori Airport,Tottori,Japan,TTJ,RJOR
2236,Tokushima Airport/JMSDF Air Base,Tokushima,Japan,TKS,RJOS
2237,Takamatsu Airport,Takamatsu,Japan,TAK,RJOT
2238,Yao Airport,Osaka,Japan,\N,RJOY
2239,Ozuki Airport,Ozuki,Japan,\N,RJOZ
2240,Aomori Airport,Aomori,Japan,AOJ,RJSA
2241,Yamagata Airport,Yamagata,Japan,GAJ,RJSC
2242,Sado Airport,Sado,Japan,SDS,RJSD
2243,Hachinohe Airport,Hachinoe,Japan,HHE,RJSH
2244,Hanamaki Airport,Hanamaki,Japan,HNA,RJSI
2245,Akita Airport,Akita,Japan,AXT,RJSK
2246,Misawa Air Base,Misawa,Japan,MSJ,RJSM
2247,Sendai Airport,Sendai,Japan,SDJ,RJSS
2248,Matsushima Air Base,Matsushima,Japan,\N,RJST
2249,Atsugi Naval Air Facility,Atsugi,Japan,NJA,RJTA
2250,Tateyama Airport,Tateyama,Japan,\N,RJTE
2251,Hachijojima Airport,Hachijojima,Japan,HAC,RJTH
2252,Iruma Air Base,Iruma,Japan,\N,RJTJ
2253,Kisarazu Airport,Kisarazu,Japan,\N,RJTK
2254,Shimofusa Airport,Shimofusa,Japan,\N,RJTL
2255,Oshima Airport,Oshima,Japan,OIM,RJTO
2256,Kastner Army Heliport,Zama,Japan,\N,RJTR
2257,Tokyo Haneda International Airport,Tokyo,Japan,HND,RJTT
2258,Yokota Air Base,Yokota,Japan,OKO,RJTY
2259,Gwangju Airport,Kwangju,South Korea,KWJ,RKJJ
2260,Jeon Ju Airport (G-703),Jhunju,South Korea,CHN,RKJU
2261,Yeosu Airport,Yeosu,South Korea,RSU,RKJY
2262,Sokcho Airport,Sokch'o,South Korea,\N,RKND
2263,Gangneung Airport (K-18),Kangnung,South Korea,KAG,RKNN
2264,Jeju International Airport,Cheju,South Korea,CJU,RKPC
2265,Jinhae Airbase/Airport (G-813/K-10),Chinhae,South Korea,CHF,RKPE
2266,Gimhae International Airport,Busan,South Korea,PUS,RKPK
2267,Ulsan Airport,Ulsan,South Korea,USN,RKPU
2268,A 511 Airport,Pyongtaek,South Korea,\N,RKSG
